00  Enemies  
01  Enemies  
02  Enemies  
03  Enemies  
04  Terrain  
05  ?  
06  Terrain  
07  Terrain  
08  Coin    
09  P  
0a  Gizmos   
0b  Gizmos   
0c  M  
0d  M   
0e  Terrain  
0f  Enemies  
10  Terrain  
11  Terrain  
12  Switch   
13  Gizmos   
14  Items    
15  Terrain  
16  Terrain  
17  Terrain  
18  Gizmos   
19  Enemies  
1a  W     
1b  W     
1c  Enemies  
1d  Terrain  
1e  Lakitu  
1f  Enemies  
20  M   
21  U    
22  U    
23  U    
24  Gizmos   
25  None     
26  None     
27  Enemies  
28  Enemies  
29  Enemies  
2a  Enemies  
2b  Terrain  
2c  Items    
2d  Items    
2e  Enemies  
2f  Gizmos   
30  Enemies  
31  None     
32  Enemies  
33  Enemies  
34  Enemies  
35  Belt   
36  Gizmos   
37  Door   
38  Enemies  
39  Enemies  
3a  Enemies  
3b  Gizmos   
3c  Enemies  
3d  Enemies  
3e  Enemies  
3f  Terrain  
40  Gizmos   
41  Enemies  
42  Gizmos   
43  Gizmos   
44  Gizmos   
45  0     
46  Items    
47  Terrain  
48  Enemies  
49  None     
4a  Enemies  
4b  None     
4c  Gizmos   
4d  Enemies  
4e  Enemies  
4f  Gizmos   
50  Gizmos   
51  None     
52  Gizmos   
53  Gizmos   
54  Gizmos   
55  Gizmos   
56  Enemies  
57  Terrain  
58  Terrain  
59  None     
5a  Gizmos   
5b  Gizmos   
5c  Items    
5d  Terrain  
5e  Gizmos   
5f  Gizmos   
60  Enemies  
61  Gizmos   
62  Enemies  
63  Gizmos   
64  Gizmos   
65  None     
66  Enemies  
67  Enemies  
68  Enemies  
69  Gizmos   
6a  Gizmos   
6b  Enemies  
6c  Gizmos   
6d  None     
6e  Terrain  
6f  None     
70  Gizmos   
71  Gizmos   
72  Enemies  
73  None     
74  Items    
75  Enemies  
76  Gizmos   
77  Gizmos   
